               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.035066,             0.14331,                   0,             0.82664,             0.74439,             0.76537,             0.38029,            0.037947,             0.21411,                   0,            0.007822,            0.007822,            0.007822
                  90,            0.036161,             0.11661,                   0,             0.85103,             0.73963,             0.78017,             0.38948,            0.038802,             0.21697,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.035909,             0.12949,                   0,             0.84856,             0.75394,             0.78894,             0.40648,            0.035736,             0.20935,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.035174,             0.11572,                   0,             0.83308,             0.76415,             0.78765,             0.39686,            0.037791,             0.21525,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.034261,             0.11965,                   0,             0.83662,              0.7429,             0.76981,             0.37924,             0.03746,             0.21552,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.034657,             0.12874,                   0,             0.83757,             0.74072,             0.77034,              0.3764,            0.038018,             0.21609,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.035561,              0.1042,                   0,             0.80838,             0.70002,             0.73481,             0.33945,            0.041125,              0.2312,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.034591,             0.12497,                   0,             0.84358,             0.74127,             0.77299,             0.39279,            0.036271,             0.21255,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.036761,             0.11508,                   0,             0.83092,             0.71452,             0.74994,             0.34555,             0.04049,             0.22542,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.036548,             0.13523,                   0,             0.82349,             0.71561,             0.75557,             0.37354,            0.037283,              0.2204,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,             0.03538,             0.12709,                   0,             0.82853,             0.71971,             0.75295,             0.34811,            0.039702,             0.21226,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.035945,             0.11922,                   0,             0.85566,             0.74318,             0.78801,             0.40656,            0.037036,             0.20924,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.035604,             0.13146,                   0,             0.82427,              0.7041,             0.73504,             0.34282,            0.040588,             0.22217,                   0,            0.007525,            0.007525,            0.007525
                 102,              0.0352,             0.12958,                   0,             0.85132,             0.74181,              0.7786,             0.38868,            0.037292,             0.21538,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.033813,             0.11681,                   0,             0.83933,             0.71943,             0.76069,             0.35749,            0.040409,             0.22666,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.034017,              0.1274,                   0,             0.83003,             0.75464,             0.77468,             0.39752,            0.036354,             0.21491,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.032786,             0.11948,                   0,             0.81685,             0.71943,             0.73586,             0.35105,            0.038507,             0.22123,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.032444,             0.11854,                   0,              0.8349,             0.75219,             0.77875,             0.39967,            0.036289,              0.2145,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.033967,             0.11351,                   0,             0.84025,             0.71725,             0.75521,              0.3699,            0.037426,             0.21574,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,             0.03396,             0.11111,                   0,             0.84926,             0.75037,             0.77698,             0.39269,            0.035908,             0.20943,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.033676,             0.11096,                   0,             0.83254,             0.73677,             0.76782,             0.38627,            0.036814,              0.2149,                   0,            0.007327,            0.007327,            0.007327
